task,source,upto,layers,heads,terms,train_words,model_hard_accuracy,train_accuracy,test_accuracy,disagreements,seconds
rand_012,examples/brasp/random100/rand_012.brasp,5,1,1,1,876,1.0,1.0,1.0,0,27.4
rand_012,examples/brasp/random_deep/rand_012.brasp,5,5,1,1,575,1.0,1.0,1.0,0,128.0
rand_013,examples/brasp/random100/rand_013.brasp,5,3,1,2,876,1.0,1.0,1.0,0,62.1
rand_013,examples/brasp/random_deep/rand_013.brasp,5,8,1,1,876,1.0,1.0,1.0,0,85.8
rand_013,examples/brasp/random_deeper/rand_013.brasp,5,9,1,2,876,1.0,1.0,1.0,0,254.3
rand_014,examples/brasp/random100/rand_014.brasp,5,3,1,2,575,1.0,1.0,1.0,0,114.1
rand_014,examples/brasp/random_deep/rand_014.brasp,5,6,1,1,575,1.0,1.0,1.0,0,70.5
rand_015,examples/brasp/random100/rand_015.brasp,5,3,1,2,876,1.0,1.0,1.0,0,121.1
rand_015,examples/brasp/random_deep/rand_015.brasp,5,6,1,1,876,1.0,1.0,1.0,0,67.7
rand_015,examples/brasp/random_deeper/rand_015.brasp,5,9,1,1,876,1.0,1.0,1.0,0,87.4
rand_016,examples/brasp/random100/rand_016.brasp,5,3,1,1,575,1.0,1.0,1.0,0,151.7
rand_016,examples/brasp/random_deep/rand_016.brasp,5,5,1,1,575,1.0,1.0,1.0,0,69.0
rand_018,examples/brasp/random100/rand_018.brasp,5,2,1,1,575,1.0,1.0,1.0,0,41.7
rand_018,examples/brasp/random_deep/rand_018.brasp,5,5,1,1,876,1.0,1.0,1.0,0,132.8
rand_019,examples/brasp/random100/rand_019.brasp,5,3,2,1,575,1.0,1.0,1.0,0,136.2
rand_019,examples/brasp/random_deep/rand_019.brasp,5,5,1,1,575,1.0,1.0,1.0,0,65.7
rand_020,examples/brasp/random100/rand_020.brasp,5,3,1,1,575,1.0,1.0,1.0,0,240.3
rand_020,examples/brasp/random_deep/rand_020.brasp,5,6,1,2,575,1.0,1.0,1.0,0,91.1
rand_021,examples/brasp/random100/rand_021.brasp,5,4,1,2,876,1.0,1.0,1.0,0,226.8
rand_022,examples/brasp/random_deep/rand_022.brasp,5,5,1,1,876,1.0,1.0,1.0,0,69.5
rand_023,examples/brasp/random100/rand_023.brasp,5,4,2,2,876,1.0,1.0,1.0,0,246.5
rand_023,examples/brasp/random_deep/rand_023.brasp,5,5,1,2,575,1.0,1.0,1.0,0,79.6
rand_024,examples/brasp/random100/rand_024.brasp,5,2,1,1,876,1.0,1.0,1.0,0,126.0
rand_025,examples/brasp/random100/rand_025.brasp,5,4,1,2,876,1.0,1.0,1.0,0,79.5
rand_027,examples/brasp/random100/rand_027.brasp,5,3,1,2,876,1.0,1.0,1.0,0,65.6
rand_028,examples/brasp/random100/rand_028.brasp,5,3,1,1,876,1.0,1.0,1.0,0,49.8
rand_029,examples/brasp/random100/rand_029.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.3
rand_030,examples/brasp/random100/rand_030.brasp,5,4,1,1,575,0.98087,0.98087,0.962,0,716.8
rand_031,examples/brasp/random100/rand_031.brasp,5,3,1,1,575,1.0,1.0,1.0,0,50.4
rand_032,examples/brasp/random100/rand_032.brasp,5,2,1,1,876,1.0,1.0,1.0,0,40.8
rand_033,examples/brasp/random100/rand_033.brasp,5,2,1,1,575,1.0,1.0,1.0,0,39.8
rand_034,examples/brasp/random100/rand_034.brasp,5,3,1,1,575,1.0,1.0,1.0,0,51.4
rand_035,examples/brasp/random100/rand_035.brasp,5,3,1,1,575,1.0,1.0,1.0,0,193.5
rand_036,examples/brasp/random100/rand_036.brasp,5,2,1,1,876,1.0,1.0,1.0,0,43.3
rand_037,examples/brasp/random100/rand_037.brasp,5,3,1,1,575,1.0,1.0,1.0,0,97.0
rand_038,examples/brasp/random100/rand_038.brasp,5,4,2,2,876,1.0,1.0,1.0,0,123.2
rand_039,examples/brasp/random100/rand_039.brasp,5,3,1,1,575,1.0,1.0,1.0,0,50.2
rand_040,examples/brasp/random100/rand_040.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.0
rand_041,examples/brasp/random100/rand_041.brasp,5,1,2,1,575,1.0,1.0,1.0,0,39.4
rand_043,examples/brasp/random100/rand_043.brasp,5,3,1,1,575,1.0,1.0,1.0,0,52.1
rand_044,examples/brasp/random100/rand_044.brasp,5,2,1,1,876,1.0,1.0,1.0,0,128.8
rand_045,examples/brasp/random100/rand_045.brasp,5,3,1,1,575,1.0,1.0,1.0,0,48.8
rand_047,examples/brasp/random100/rand_047.brasp,5,3,1,1,876,1.0,1.0,1.0,0,148.9
rand_048,examples/brasp/random100/rand_048.brasp,5,4,1,2,575,1.0,1.0,1.0,0,133.0
rand_049,examples/brasp/random100/rand_049.brasp,5,3,1,2,876,1.0,1.0,1.0,0,173.6
rand_050,examples/brasp/random100/rand_050.brasp,5,4,1,2,876,1.0,1.0,1.0,0,76.1
rand_051,examples/brasp/random100/rand_051.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.7
rand_052,examples/brasp/random100/rand_052.brasp,5,2,1,1,575,1.0,1.0,1.0,0,43.9
rand_053,examples/brasp/random100/rand_053.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.4
rand_054,examples/brasp/random100/rand_054.brasp,5,3,1,1,575,1.0,1.0,1.0,0,98.3
rand_055,examples/brasp/random100/rand_055.brasp,5,2,1,1,575,1.0,1.0,1.0,0,125.8
rand_056,examples/brasp/random100/rand_056.brasp,5,2,1,1,876,1.0,1.0,1.0,0,41.7
rand_057,examples/brasp/random100/rand_057.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.7
rand_059,examples/brasp/random100/rand_059.brasp,5,2,1,1,876,1.0,1.0,1.0,0,86.3
rand_060,examples/brasp/random100/rand_060.brasp,5,1,2,1,876,1.0,1.0,1.0,0,41.5
rand_061,examples/brasp/random100/rand_061.brasp,5,3,1,1,575,1.0,1.0,1.0,0,50.6
rand_062,examples/brasp/random100/rand_062.brasp,5,3,2,2,876,1.0,1.0,1.0,0,329.6
rand_063,examples/brasp/random100/rand_063.brasp,5,4,2,2,575,1.0,1.0,1.0,0,228.0
rand_064,examples/brasp/random100/rand_064.brasp,5,3,1,1,876,1.0,1.0,1.0,0,53.0
rand_065,examples/brasp/random100/rand_065.brasp,5,2,1,1,575,1.0,1.0,1.0,0,42.5
rand_066,examples/brasp/random100/rand_066.brasp,5,3,1,1,876,1.0,1.0,1.0,0,99.5
rand_067,examples/brasp/random100/rand_067.brasp,5,4,1,2,876,1.0,1.0,1.0,0,80.8
rand_068,examples/brasp/random100/rand_068.brasp,5,4,1,2,876,1.0,1.0,1.0,0,81.0
rand_069,examples/brasp/random100/rand_069.brasp,5,4,1,1,876,1.0,1.0,1.0,0,60.4
rand_070,examples/brasp/random100/rand_070.brasp,5,4,1,1,575,1.0,1.0,1.0,0,118.2
rand_071,examples/brasp/random100/rand_071.brasp,5,4,1,1,575,1.0,1.0,1.0,0,60.3
rand_072,examples/brasp/random100/rand_072.brasp,5,4,1,1,575,1.0,1.0,1.0,0,56.3
rand_073,examples/brasp/random100/rand_073.brasp,5,3,1,1,876,1.0,1.0,1.0,0,49.9
rand_075,examples/brasp/random100/rand_075.brasp,5,3,1,2,876,1.0,1.0,1.0,0,123.9
rand_076,examples/brasp/random100/rand_076.brasp,5,3,2,2,876,1.0,1.0,1.0,0,103.4
rand_077,examples/brasp/random100/rand_077.brasp,5,2,1,1,575,1.0,1.0,1.0,0,42.7
rand_078,examples/brasp/random100/rand_078.brasp,5,2,1,1,575,1.0,1.0,1.0,0,41.5
rand_080,examples/brasp/random100/rand_080.brasp,5,4,2,2,876,1.0,1.0,1.0,0,125.9
rand_081,examples/brasp/random100/rand_081.brasp,5,4,1,1,876,1.0,1.0,1.0,0,57.5
rand_082,examples/brasp/random100/rand_082.brasp,5,4,1,2,575,1.0,1.0,1.0,0,68.3
rand_083,examples/brasp/random100/rand_083.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.2
rand_085,examples/brasp/random100/rand_085.brasp,5,3,1,1,575,1.0,1.0,1.0,0,50.7
rand_086,examples/brasp/random100/rand_086.brasp,5,2,1,1,876,1.0,1.0,1.0,0,42.7
rand_087,examples/brasp/random100/rand_087.brasp,5,3,1,1,876,1.0,1.0,1.0,0,51.0
rand_088,examples/brasp/random100/rand_088.brasp,5,4,1,1,876,1.0,1.0,1.0,0,57.6
rand_089,examples/brasp/random100/rand_089.brasp,5,2,1,2,876,1.0,1.0,1.0,0,51.0
rand_090,examples/brasp/random100/rand_090.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.7
rand_091,examples/brasp/random100/rand_091.brasp,5,2,1,2,575,1.0,1.0,1.0,0,87.9
rand_092,examples/brasp/random100/rand_092.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.5
rand_093,examples/brasp/random100/rand_093.brasp,5,3,2,2,876,1.0,1.0,1.0,0,104.1
rand_094,examples/brasp/random100/rand_094.brasp,5,3,1,1,876,1.0,1.0,1.0,0,50.1
rand_095,examples/brasp/random100/rand_095.brasp,5,2,2,1,876,1.0,1.0,1.0,0,111.7
rand_096,examples/brasp/random100/rand_096.brasp,5,3,1,1,575,1.0,1.0,1.0,0,49.8
rand_097,examples/brasp/random100/rand_097.brasp,5,4,1,1,575,1.0,1.0,1.0,0,475.1
rand_098,examples/brasp/random100/rand_098.brasp,5,4,1,1,876,1.0,1.0,1.0,0,63.7
rand_099,examples/brasp/random100/rand_099.brasp,5,2,1,2,575,1.0,1.0,1.0,0,43.3
rand_000,examples/brasp/random100/rand_000.brasp,4,3,1,1,633,1.0,1.0,1.0,0,47.8
rand_001,examples/brasp/random100/rand_001.brasp,4,3,1,2,543,0.957643,0.957643,0.9995,0,674.6
rand_001,examples/brasp/random_deep/rand_001.brasp,4,6,1,1,543,1.0,1.0,1.0,0,71.0
rand_001,examples/brasp/random_deeper/rand_001.brasp,4,9,1,2,543,1.0,1.0,1.0,0,232.6
rand_002,examples/brasp/random_deeper/rand_002.brasp,4,11,1,1,633,1.0,1.0,1.0,0,320.8
rand_002,examples/brasp/random100/rand_002.brasp,4,3,1,1,633,1.0,1.0,1.0,0,40.7
rand_003,examples/brasp/random100/rand_003.brasp,4,3,1,1,543,1.0,1.0,1.0,0,49.6
rand_003,examples/brasp/random_deep/rand_003.brasp,4,5,1,2,543,1.0,1.0,1.0,0,76.9
rand_003,examples/brasp/random_deeper/rand_003.brasp,4,9,1,2,543,1.0,1.0,1.0,0,223.8
rand_004,examples/brasp/random100/rand_004.brasp,4,4,1,1,543,1.0,1.0,1.0,0,59.1
rand_004,examples/brasp/random_deep/rand_004.brasp,4,5,1,2,633,1.0,1.0,1.0,0,85.4
rand_004,examples/brasp/random_deeper/rand_004.brasp,4,9,1,1,543,1.0,1.0,1.0,0,90.1
rand_005,examples/brasp/random100/rand_005.brasp,4,2,1,1,633,1.0,1.0,1.0,0,40.5
rand_005,examples/brasp/random_deep/rand_005.brasp,4,5,1,1,633,1.0,1.0,1.0,0,65.0
rand_006,examples/brasp/random100/rand_006.brasp,4,2,1,2,543,1.0,1.0,1.0,0,43.5
rand_006,examples/brasp/random_deep/rand_006.brasp,4,6,1,2,543,1.0,1.0,1.0,0,184.4
rand_006,examples/brasp/random_deeper/rand_006.brasp,4,9,1,2,543,1.0,1.0,1.0,0,376.0
rand_007,examples/brasp/random100/rand_007.brasp,4,2,1,1,633,1.0,1.0,1.0,0,40.7
rand_007,examples/brasp/random_deep/rand_007.brasp,4,5,1,2,633,0.993681,0.993681,0.977,0,1014.4
rand_007,examples/brasp/random_deeper/rand_007.brasp,4,9,1,1,543,1.0,1.0,1.0,0,86.1
rand_008,examples/brasp/random100/rand_008.brasp,4,4,1,1,543,1.0,1.0,1.0,0,59.9
rand_008,examples/brasp/random_deep/rand_008.brasp,4,5,1,1,633,1.0,1.0,1.0,0,65.8
rand_008,examples/brasp/random_deeper/rand_008.brasp,4,9,1,1,543,1.0,1.0,1.0,0,268.8
rand_009,examples/brasp/random_deeper/rand_009.brasp,4,11,1,1,633,1.0,1.0,1.0,0,110.4
rand_009,examples/brasp/random100/rand_009.brasp,4,2,1,1,633,1.0,1.0,1.0,0,42.5
rand_010,examples/brasp/random_deeper/rand_010.brasp,4,11,1,1,543,1.0,1.0,1.0,0,107.9
rand_010,examples/brasp/random_deep/rand_010.brasp,4,5,1,1,543,1.0,1.0,1.0,0,67.4
rand_011,examples/brasp/random100/rand_011.brasp,4,4,1,1,633,1.0,1.0,1.0,0,59.1
rand_011,examples/brasp/random_deep/rand_011.brasp,4,6,1,2,633,1.0,1.0,1.0,0,178.1
rand_011,examples/brasp/random_deeper/rand_011.brasp,4,9,1,2,633,1.0,1.0,1.0,0,112.6
rand_012,examples/brasp/random_deeper/rand_012.brasp,4,10,1,1,633,1.0,1.0,1.0,0,196.0
rand_012,examples/brasp/random100/rand_012.brasp,4,1,1,1,633,1.0,1.0,1.0,0,26.7
rand_012,examples/brasp/random_deep/rand_012.brasp,4,5,1,1,543,1.0,1.0,1.0,0,128.5
rand_013,examples/brasp/random100/rand_013.brasp,4,3,1,2,633,1.0,1.0,1.0,0,60.9
rand_013,examples/brasp/random_deep/rand_013.brasp,4,8,1,1,633,1.0,1.0,1.0,0,81.8
rand_013,examples/brasp/random_deeper/rand_013.brasp,4,9,1,2,633,1.0,1.0,1.0,0,238.1
rand_014,examples/brasp/random100/rand_014.brasp,4,3,1,2,543,1.0,1.0,1.0,0,110.4
rand_014,examples/brasp/random_deep/rand_014.brasp,4,6,1,1,543,1.0,1.0,1.0,0,69.0
rand_015,examples/brasp/random100/rand_015.brasp,4,3,1,2,633,1.0,1.0,1.0,0,57.2
rand_015,examples/brasp/random_deep/rand_015.brasp,4,6,1,1,633,1.0,1.0,1.0,0,73.3
rand_015,examples/brasp/random_deeper/rand_015.brasp,4,9,1,1,633,1.0,1.0,1.0,0,98.4
rand_016,examples/brasp/random100/rand_016.brasp,4,3,1,1,543,1.0,1.0,1.0,0,151.8
rand_016,examples/brasp/random_deep/rand_016.brasp,4,5,1,1,543,1.0,1.0,1.0,0,68.7
rand_018,examples/brasp/random100/rand_018.brasp,4,2,1,1,543,1.0,1.0,1.0,0,42.3
rand_018,examples/brasp/random_deep/rand_018.brasp,4,5,1,1,633,1.0,1.0,1.0,0,131.4
rand_019,examples/brasp/random100/rand_019.brasp,4,3,2,1,543,1.0,1.0,1.0,0,137.2
rand_019,examples/brasp/random_deep/rand_019.brasp,4,5,1,1,543,1.0,1.0,1.0,0,67.1
rand_020,examples/brasp/random100/rand_020.brasp,4,3,1,1,543,1.0,1.0,1.0,0,102.5
rand_020,examples/brasp/random_deep/rand_020.brasp,4,6,1,2,543,1.0,1.0,1.0,0,90.4
rand_021,examples/brasp/random100/rand_021.brasp,4,4,1,2,633,1.0,1.0,1.0,0,72.8
rand_022,examples/brasp/random_deep/rand_022.brasp,4,5,1,1,633,1.0,1.0,1.0,0,64.7
rand_023,examples/brasp/random100/rand_023.brasp,4,4,2,2,633,1.0,1.0,1.0,0,785.7
rand_023,examples/brasp/random_deep/rand_023.brasp,4,5,1,2,543,1.0,1.0,1.0,0,77.8
rand_024,examples/brasp/random100/rand_024.brasp,4,2,1,1,633,1.0,1.0,1.0,0,132.4
rand_025,examples/brasp/random100/rand_025.brasp,4,4,1,2,633,1.0,1.0,1.0,0,142.4
rand_027,examples/brasp/random100/rand_027.brasp,4,3,1,2,633,1.0,1.0,1.0,0,61.0
rand_028,examples/brasp/random100/rand_028.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.5
rand_029,examples/brasp/random100/rand_029.brasp,4,3,1,1,633,1.0,1.0,1.0,0,49.5
rand_030,examples/brasp/random100/rand_030.brasp,4,4,1,1,543,1.0,1.0,1.0,0,116.8
rand_031,examples/brasp/random100/rand_031.brasp,4,3,1,1,543,1.0,1.0,1.0,0,49.7
rand_032,examples/brasp/random100/rand_032.brasp,4,2,1,1,633,1.0,1.0,1.0,0,43.2
rand_033,examples/brasp/random100/rand_033.brasp,4,2,1,1,543,1.0,1.0,1.0,0,44.8
rand_034,examples/brasp/random100/rand_034.brasp,4,3,1,1,543,1.0,1.0,1.0,0,49.8
rand_035,examples/brasp/random100/rand_035.brasp,4,3,1,1,543,1.0,1.0,1.0,0,193.9
rand_036,examples/brasp/random100/rand_036.brasp,4,2,1,1,633,1.0,1.0,1.0,0,48.3
rand_037,examples/brasp/random100/rand_037.brasp,4,3,1,1,543,1.0,1.0,1.0,0,99.4
rand_038,examples/brasp/random100/rand_038.brasp,4,4,2,2,633,1.0,1.0,1.0,0,338.1
rand_039,examples/brasp/random100/rand_039.brasp,4,3,1,1,543,1.0,1.0,1.0,0,50.0
rand_040,examples/brasp/random100/rand_040.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.0
rand_041,examples/brasp/random100/rand_041.brasp,4,1,2,1,543,1.0,1.0,1.0,0,43.0
rand_043,examples/brasp/random100/rand_043.brasp,4,3,1,1,543,1.0,1.0,1.0,0,51.0
rand_044,examples/brasp/random100/rand_044.brasp,4,2,1,1,633,1.0,1.0,1.0,0,126.4
rand_045,examples/brasp/random100/rand_045.brasp,4,3,1,1,543,1.0,1.0,1.0,0,49.5
rand_047,examples/brasp/random100/rand_047.brasp,4,3,1,1,633,1.0,1.0,1.0,0,197.1
rand_048,examples/brasp/random100/rand_048.brasp,4,4,1,2,543,1.0,1.0,1.0,0,133.1
rand_049,examples/brasp/random100/rand_049.brasp,4,3,1,2,633,1.0,1.0,1.0,0,164.9
rand_050,examples/brasp/random100/rand_050.brasp,4,4,1,2,633,1.0,1.0,1.0,0,75.2
rand_051,examples/brasp/random100/rand_051.brasp,4,3,1,1,633,1.0,1.0,1.0,0,49.6
rand_052,examples/brasp/random100/rand_052.brasp,4,2,1,1,543,1.0,1.0,1.0,0,41.0
rand_053,examples/brasp/random100/rand_053.brasp,4,3,1,1,633,1.0,1.0,1.0,0,51.0
rand_054,examples/brasp/random100/rand_054.brasp,4,3,1,1,543,1.0,1.0,1.0,0,44.4
rand_055,examples/brasp/random100/rand_055.brasp,4,2,1,1,543,1.0,1.0,1.0,0,123.0
rand_056,examples/brasp/random100/rand_056.brasp,4,2,1,1,633,1.0,1.0,1.0,0,41.9
rand_057,examples/brasp/random100/rand_057.brasp,4,3,1,1,633,1.0,1.0,1.0,0,51.0
rand_059,examples/brasp/random100/rand_059.brasp,4,2,1,1,633,1.0,1.0,1.0,0,81.8
rand_060,examples/brasp/random100/rand_060.brasp,4,1,2,1,633,1.0,1.0,1.0,0,39.7
rand_061,examples/brasp/random100/rand_061.brasp,4,3,1,1,543,1.0,1.0,1.0,0,49.6
rand_062,examples/brasp/random100/rand_062.brasp,4,3,2,2,633,1.0,1.0,1.0,0,276.3
rand_063,examples/brasp/random100/rand_063.brasp,4,4,2,2,543,0.98895,0.98895,0.999,0,1243.0
rand_064,examples/brasp/random100/rand_064.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.5
rand_065,examples/brasp/random100/rand_065.brasp,4,2,1,1,543,1.0,1.0,1.0,0,40.8
rand_066,examples/brasp/random100/rand_066.brasp,4,3,1,1,633,1.0,1.0,1.0,0,99.6
rand_067,examples/brasp/random100/rand_067.brasp,4,4,1,2,633,1.0,1.0,1.0,0,75.4
rand_068,examples/brasp/random100/rand_068.brasp,4,4,1,2,633,1.0,1.0,1.0,0,69.2
rand_069,examples/brasp/random100/rand_069.brasp,4,4,1,1,633,1.0,1.0,1.0,0,58.8
rand_070,examples/brasp/random100/rand_070.brasp,4,4,1,1,543,1.0,1.0,1.0,0,113.7
rand_071,examples/brasp/random100/rand_071.brasp,4,4,1,1,543,1.0,1.0,1.0,0,59.5
rand_072,examples/brasp/random100/rand_072.brasp,4,4,1,1,543,1.0,1.0,1.0,0,64.0
rand_073,examples/brasp/random100/rand_073.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.0
rand_075,examples/brasp/random100/rand_075.brasp,4,3,1,2,633,1.0,1.0,1.0,0,110.4
rand_076,examples/brasp/random100/rand_076.brasp,4,3,2,2,633,0.971564,0.971564,0.9995,0,1097.6
rand_077,examples/brasp/random100/rand_077.brasp,4,2,1,1,543,1.0,1.0,1.0,0,38.2
rand_078,examples/brasp/random100/rand_078.brasp,4,2,1,1,543,1.0,1.0,1.0,0,43.3
rand_080,examples/brasp/random100/rand_080.brasp,4,4,2,2,633,1.0,1.0,1.0,0,227.1
rand_081,examples/brasp/random100/rand_081.brasp,4,4,1,1,633,1.0,1.0,1.0,0,57.3
rand_082,examples/brasp/random100/rand_082.brasp,4,4,1,2,543,1.0,1.0,1.0,0,67.5
rand_083,examples/brasp/random100/rand_083.brasp,4,3,1,1,633,1.0,1.0,1.0,0,48.7
rand_085,examples/brasp/random100/rand_085.brasp,4,3,1,1,543,1.0,1.0,1.0,0,50.3
rand_086,examples/brasp/random100/rand_086.brasp,4,2,1,1,633,1.0,1.0,1.0,0,43.1
rand_087,examples/brasp/random100/rand_087.brasp,4,3,1,1,633,1.0,1.0,1.0,0,52.5
rand_088,examples/brasp/random100/rand_088.brasp,4,4,1,1,633,1.0,1.0,1.0,0,54.5
rand_089,examples/brasp/random100/rand_089.brasp,4,2,1,2,633,1.0,1.0,1.0,0,46.4
rand_090,examples/brasp/random100/rand_090.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.0
rand_091,examples/brasp/random100/rand_091.brasp,4,2,1,2,543,1.0,1.0,1.0,0,85.7
rand_092,examples/brasp/random100/rand_092.brasp,4,3,1,1,633,1.0,1.0,1.0,0,50.1
rand_093,examples/brasp/random100/rand_093.brasp,4,3,2,2,633,1.0,1.0,1.0,0,90.0
rand_094,examples/brasp/random100/rand_094.brasp,4,3,1,1,633,1.0,1.0,1.0,0,99.5
rand_095,examples/brasp/random100/rand_095.brasp,4,2,2,1,633,1.0,1.0,1.0,0,100.5
rand_096,examples/brasp/random100/rand_096.brasp,4,3,1,1,543,1.0,1.0,1.0,0,50.0
rand_097,examples/brasp/random100/rand_097.brasp,4,4,1,1,543,1.0,1.0,1.0,0,520.3
rand_098,examples/brasp/random100/rand_098.brasp,4,4,1,1,633,1.0,1.0,1.0,0,61.5
rand_099,examples/brasp/random100/rand_099.brasp,4,2,1,2,543,1.0,1.0,1.0,0,45.0
rand_000,examples/brasp/random100/rand_000.brasp,3,3,1,1,552,1.0,1.0,1.0,0,50.6
rand_001,examples/brasp/random100/rand_001.brasp,3,3,1,2,527,0.958254,0.958254,0.9995,0,672.7
rand_001,examples/brasp/random_deep/rand_001.brasp,3,6,1,1,527,1.0,1.0,1.0,0,72.9
rand_001,examples/brasp/random_deeper/rand_001.brasp,3,9,1,2,527,1.0,1.0,1.0,0,229.1
rand_002,examples/brasp/random_deeper/rand_002.brasp,3,11,1,1,552,1.0,1.0,1.0,0,318.0
rand_002,examples/brasp/random100/rand_002.brasp,3,3,1,1,552,1.0,1.0,1.0,0,51.3
rand_003,examples/brasp/random100/rand_003.brasp,3,3,1,1,527,1.0,1.0,1.0,0,52.3
rand_003,examples/brasp/random_deep/rand_003.brasp,3,5,1,2,527,1.0,1.0,1.0,0,71.8
rand_003,examples/brasp/random_deeper/rand_003.brasp,3,9,1,2,527,1.0,1.0,1.0,0,228.6
rand_004,examples/brasp/random100/rand_004.brasp,3,4,1,1,527,1.0,1.0,1.0,0,58.0
rand_004,examples/brasp/random_deep/rand_004.brasp,3,5,1,2,552,1.0,1.0,1.0,0,73.2
rand_004,examples/brasp/random_deeper/rand_004.brasp,3,9,1,1,527,1.0,1.0,1.0,0,91.1
rand_005,examples/brasp/random100/rand_005.brasp,3,2,1,1,552,1.0,1.0,1.0,0,43.6
rand_005,examples/brasp/random_deep/rand_005.brasp,3,5,1,1,552,1.0,1.0,1.0,0,62.6
rand_006,examples/brasp/random100/rand_006.brasp,3,2,1,2,527,1.0,1.0,1.0,0,42.8
rand_006,examples/brasp/random_deep/rand_006.brasp,3,6,1,2,527,1.0,1.0,1.0,0,179.7
rand_006,examples/brasp/random_deeper/rand_006.brasp,3,9,1,2,527,1.0,1.0,1.0,0,379.5
rand_007,examples/brasp/random100/rand_007.brasp,3,2,1,1,552,1.0,1.0,1.0,0,43.6
rand_007,examples/brasp/random_deep/rand_007.brasp,3,5,1,2,552,0.992754,0.992754,0.9865,0,989.9
