task,upto,layers,heads,terms,source,train_accuracy,test_accuracy,perfect,verdict
rand_041,2,1,2,1,examples/brasp/random100/rand_041.brasp,1.0,1.0,1,PROVED
rand_043,2,3,1,1,examples/brasp/random100/rand_043.brasp,1.0,1.0,1,PROVED
rand_044,2,2,1,1,examples/brasp/random100/rand_044.brasp,1.0,1.0,1,PROVED
rand_045,2,3,1,1,examples/brasp/random100/rand_045.brasp,1.0,1.0,1,PROVED
rand_047,2,3,1,1,examples/brasp/random100/rand_047.brasp,1.0,1.0,1,PROVED
rand_048,2,4,1,2,examples/brasp/random100/rand_048.brasp,1.0,1.0,1,PROVED
rand_049,2,3,1,2,examples/brasp/random100/rand_049.brasp,1.0,1.0,1,PROVED
rand_050,2,4,1,2,examples/brasp/random100/rand_050.brasp,1.0,1.0,1,DIFFERENT
rand_051,2,3,1,1,examples/brasp/random100/rand_051.brasp,1.0,1.0,1,PROVED
rand_052,2,2,1,1,examples/brasp/random100/rand_052.brasp,1.0,1.0,1,PROVED
rand_053,2,3,1,1,examples/brasp/random100/rand_053.brasp,1.0,1.0,1,PROVED
rand_054,2,3,1,1,examples/brasp/random100/rand_054.brasp,1.0,1.0,1,PROVED
rand_055,2,2,1,1,examples/brasp/random100/rand_055.brasp,1.0,1.0,1,PROVED
rand_056,2,2,1,1,examples/brasp/random100/rand_056.brasp,1.0,1.0,1,PROVED
rand_057,2,3,1,1,examples/brasp/random100/rand_057.brasp,1.0,1.0,1,PROVED
rand_059,2,2,1,1,examples/brasp/random100/rand_059.brasp,1.0,1.0,1,PROVED
rand_060,2,1,2,1,examples/brasp/random100/rand_060.brasp,1.0,1.0,1,PROVED
rand_061,2,3,1,1,examples/brasp/random100/rand_061.brasp,1.0,1.0,1,PROVED
rand_062,2,3,2,2,examples/brasp/random100/rand_062.brasp,1.0,1.0,1,PROVED
rand_063,2,4,2,2,examples/brasp/random100/rand_063.brasp,1.0,1.0,1,PROVED
rand_064,2,3,1,1,examples/brasp/random100/rand_064.brasp,1.0,1.0,1,PROVED
rand_065,2,2,1,1,examples/brasp/random100/rand_065.brasp,1.0,1.0,1,PROVED
rand_066,2,3,1,1,examples/brasp/random100/rand_066.brasp,1.0,1.0,1,PROVED
rand_067,2,4,1,2,examples/brasp/random100/rand_067.brasp,1.0,1.0,1,PROVED
rand_068,2,4,1,2,examples/brasp/random100/rand_068.brasp,1.0,1.0,1,PROVED
rand_069,2,4,1,1,examples/brasp/random100/rand_069.brasp,1.0,1.0,1,PROVED
rand_070,2,4,1,1,examples/brasp/random100/rand_070.brasp,1.0,1.0,1,PROVED
rand_071,2,4,1,1,examples/brasp/random100/rand_071.brasp,1.0,1.0,1,PROVED
rand_072,2,4,1,1,examples/brasp/random100/rand_072.brasp,1.0,1.0,1,PROVED
rand_073,2,3,1,1,examples/brasp/random100/rand_073.brasp,1.0,1.0,1,PROVED
rand_075,2,3,1,2,examples/brasp/random100/rand_075.brasp,1.0,1.0,1,PROVED
rand_077,2,2,1,1,examples/brasp/random100/rand_077.brasp,1.0,1.0,1,PROVED
rand_078,2,2,1,1,examples/brasp/random100/rand_078.brasp,1.0,1.0,1,PROVED
rand_080,2,4,2,2,examples/brasp/random100/rand_080.brasp,1.0,1.0,1,PROVED
rand_081,2,4,1,1,examples/brasp/random100/rand_081.brasp,1.0,1.0,1,PROVED
rand_082,2,4,1,2,examples/brasp/random100/rand_082.brasp,1.0,1.0,1,PROVED
rand_083,2,3,1,1,examples/brasp/random100/rand_083.brasp,1.0,1.0,1,PROVED
rand_085,2,3,1,1,examples/brasp/random100/rand_085.brasp,1.0,1.0,1,PROVED
rand_086,2,2,1,1,examples/brasp/random100/rand_086.brasp,1.0,1.0,1,PROVED
rand_087,2,3,1,1,examples/brasp/random100/rand_087.brasp,1.0,1.0,1,PROVED
rand_088,2,4,1,1,examples/brasp/random100/rand_088.brasp,1.0,1.0,1,PROVED
rand_089,2,2,1,2,examples/brasp/random100/rand_089.brasp,1.0,1.0,1,PROVED
rand_090,2,3,1,1,examples/brasp/random100/rand_090.brasp,1.0,1.0,1,PROVED
rand_091,2,2,1,2,examples/brasp/random100/rand_091.brasp,1.0,1.0,1,PROVED
rand_092,2,3,1,1,examples/brasp/random100/rand_092.brasp,1.0,1.0,1,PROVED
rand_093,2,3,2,2,examples/brasp/random100/rand_093.brasp,1.0,1.0,1,PROVED
rand_094,2,3,1,1,examples/brasp/random100/rand_094.brasp,1.0,1.0,1,PROVED
rand_095,2,2,2,1,examples/brasp/random100/rand_095.brasp,1.0,1.0,1,PROVED
rand_096,2,3,1,1,examples/brasp/random100/rand_096.brasp,1.0,1.0,1,PROVED
rand_097,2,4,1,1,examples/brasp/random100/rand_097.brasp,1.0,1.0,1,PROVED
rand_098,2,4,1,1,examples/brasp/random100/rand_098.brasp,1.0,1.0,1,PROVED
rand_099,2,2,1,2,examples/brasp/random100/rand_099.brasp,1.0,1.0,1,PROVED
rand_000,3,3,1,1,examples/brasp/random100/rand_000.brasp,1.0,1.0,1,PROVED
rand_001,3,6,1,1,examples/brasp/random_deep/rand_001.brasp,1.0,1.0,1,PROVED
rand_001,3,9,1,2,examples/brasp/random_deeper/rand_001.brasp,1.0,1.0,1,PROVED
rand_002,3,11,1,1,examples/brasp/random_deeper/rand_002.brasp,1.0,1.0,1,PROVED
rand_002,3,3,1,1,examples/brasp/random100/rand_002.brasp,1.0,1.0,1,PROVED
rand_003,3,3,1,1,examples/brasp/random100/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,3,5,1,2,examples/brasp/random_deep/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,3,9,1,2,examples/brasp/random_deeper/rand_003.brasp,1.0,1.0,1,PROVED
rand_004,3,4,1,1,examples/brasp/random100/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,3,5,1,2,examples/brasp/random_deep/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,3,9,1,1,examples/brasp/random_deeper/rand_004.brasp,1.0,1.0,1,PROVED
rand_005,3,2,1,1,examples/brasp/random100/rand_005.brasp,1.0,1.0,1,PROVED
rand_005,3,5,1,1,examples/brasp/random_deep/rand_005.brasp,1.0,1.0,1,PROVED
rand_006,3,2,1,2,examples/brasp/random100/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,3,6,1,2,examples/brasp/random_deep/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,3,9,1,2,examples/brasp/random_deeper/rand_006.brasp,1.0,1.0,1,PROVED
rand_007,3,2,1,1,examples/brasp/random100/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,3,9,1,1,examples/brasp/random_deeper/rand_007.brasp,1.0,1.0,1,PROVED
rand_008,3,4,1,1,examples/brasp/random100/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,3,5,1,1,examples/brasp/random_deep/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,3,9,1,1,examples/brasp/random_deeper/rand_008.brasp,1.0,1.0,1,PROVED
rand_009,3,11,1,1,examples/brasp/random_deeper/rand_009.brasp,1.0,1.0,1,PROVED
rand_009,3,2,1,1,examples/brasp/random100/rand_009.brasp,1.0,1.0,1,PROVED
rand_010,3,11,1,1,examples/brasp/random_deeper/rand_010.brasp,1.0,1.0,1,PROVED
rand_010,3,5,1,1,examples/brasp/random_deep/rand_010.brasp,1.0,1.0,1,PROVED
rand_011,3,4,1,1,examples/brasp/random100/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,3,6,1,2,examples/brasp/random_deep/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,3,9,1,2,examples/brasp/random_deeper/rand_011.brasp,1.0,1.0,1,PROVED
rand_012,3,10,1,1,examples/brasp/random_deeper/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,3,1,1,1,examples/brasp/random100/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,3,5,1,1,examples/brasp/random_deep/rand_012.brasp,1.0,1.0,1,PROVED
rand_013,3,3,1,2,examples/brasp/random100/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,3,8,1,1,examples/brasp/random_deep/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,3,9,1,2,examples/brasp/random_deeper/rand_013.brasp,1.0,1.0,1,PROVED
rand_014,3,3,1,2,examples/brasp/random100/rand_014.brasp,1.0,1.0,1,PROVED
rand_014,3,6,1,1,examples/brasp/random_deep/rand_014.brasp,1.0,1.0,1,PROVED
rand_015,3,3,1,2,examples/brasp/random100/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,3,6,1,1,examples/brasp/random_deep/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,3,9,1,1,examples/brasp/random_deeper/rand_015.brasp,1.0,1.0,1,PROVED
rand_016,3,3,1,1,examples/brasp/random100/rand_016.brasp,1.0,1.0,1,PROVED
rand_016,3,5,1,1,examples/brasp/random_deep/rand_016.brasp,1.0,1.0,1,PROVED
rand_018,3,2,1,1,examples/brasp/random100/rand_018.brasp,1.0,1.0,1,PROVED
rand_018,3,5,1,1,examples/brasp/random_deep/rand_018.brasp,1.0,1.0,1,PROVED
rand_019,3,3,2,1,examples/brasp/random100/rand_019.brasp,1.0,1.0,1,PROVED
rand_019,3,5,1,1,examples/brasp/random_deep/rand_019.brasp,1.0,1.0,1,PROVED
rand_020,3,3,1,1,examples/brasp/random100/rand_020.brasp,1.0,1.0,1,PROVED
rand_020,3,6,1,2,examples/brasp/random_deep/rand_020.brasp,1.0,1.0,1,PROVED
rand_021,3,4,1,2,examples/brasp/random100/rand_021.brasp,1.0,1.0,1,PROVED
rand_022,3,5,1,1,examples/brasp/random_deep/rand_022.brasp,1.0,1.0,1,PROVED
rand_023,3,4,2,2,examples/brasp/random100/rand_023.brasp,1.0,1.0,1,PROVED
rand_023,3,5,1,2,examples/brasp/random_deep/rand_023.brasp,1.0,1.0,1,PROVED
rand_024,3,2,1,1,examples/brasp/random100/rand_024.brasp,1.0,1.0,1,PROVED
rand_025,3,4,1,2,examples/brasp/random100/rand_025.brasp,1.0,1.0,1,PROVED
rand_027,3,3,1,2,examples/brasp/random100/rand_027.brasp,1.0,1.0,1,PROVED
rand_028,3,3,1,1,examples/brasp/random100/rand_028.brasp,1.0,1.0,1,PROVED
rand_029,3,3,1,1,examples/brasp/random100/rand_029.brasp,1.0,1.0,1,PROVED
rand_030,3,4,1,1,examples/brasp/random100/rand_030.brasp,1.0,1.0,1,PROVED
rand_031,3,3,1,1,examples/brasp/random100/rand_031.brasp,1.0,1.0,1,PROVED
rand_032,3,2,1,1,examples/brasp/random100/rand_032.brasp,1.0,1.0,1,PROVED
rand_033,3,2,1,1,examples/brasp/random100/rand_033.brasp,1.0,1.0,1,PROVED
rand_034,3,3,1,1,examples/brasp/random100/rand_034.brasp,1.0,1.0,1,PROVED
rand_035,3,3,1,1,examples/brasp/random100/rand_035.brasp,1.0,1.0,1,PROVED
rand_036,3,2,1,1,examples/brasp/random100/rand_036.brasp,1.0,1.0,1,PROVED
rand_037,3,3,1,1,examples/brasp/random100/rand_037.brasp,1.0,1.0,1,PROVED
rand_038,3,4,2,2,examples/brasp/random100/rand_038.brasp,1.0,1.0,1,PROVED
rand_039,3,3,1,1,examples/brasp/random100/rand_039.brasp,1.0,1.0,1,PROVED
rand_040,3,3,1,1,examples/brasp/random100/rand_040.brasp,1.0,1.0,1,PROVED
rand_041,3,1,2,1,examples/brasp/random100/rand_041.brasp,1.0,1.0,1,PROVED
rand_043,3,3,1,1,examples/brasp/random100/rand_043.brasp,1.0,1.0,1,PROVED
rand_044,3,2,1,1,examples/brasp/random100/rand_044.brasp,1.0,1.0,1,PROVED
rand_045,3,3,1,1,examples/brasp/random100/rand_045.brasp,1.0,1.0,1,PROVED
rand_048,3,4,1,2,examples/brasp/random100/rand_048.brasp,1.0,1.0,1,PROVED
rand_049,3,3,1,2,examples/brasp/random100/rand_049.brasp,1.0,1.0,1,PROVED
rand_050,3,4,1,2,examples/brasp/random100/rand_050.brasp,1.0,1.0,1,PROVED
rand_051,3,3,1,1,examples/brasp/random100/rand_051.brasp,1.0,1.0,1,PROVED
rand_052,3,2,1,1,examples/brasp/random100/rand_052.brasp,1.0,1.0,1,PROVED
rand_053,3,3,1,1,examples/brasp/random100/rand_053.brasp,1.0,1.0,1,PROVED
rand_054,3,3,1,1,examples/brasp/random100/rand_054.brasp,1.0,1.0,1,PROVED
rand_055,3,2,1,1,examples/brasp/random100/rand_055.brasp,1.0,1.0,1,PROVED
rand_056,3,2,1,1,examples/brasp/random100/rand_056.brasp,1.0,1.0,1,PROVED
rand_057,3,3,1,1,examples/brasp/random100/rand_057.brasp,1.0,1.0,1,PROVED
rand_059,3,2,1,1,examples/brasp/random100/rand_059.brasp,1.0,1.0,1,PROVED
rand_060,3,1,2,1,examples/brasp/random100/rand_060.brasp,1.0,1.0,1,PROVED
rand_061,3,3,1,1,examples/brasp/random100/rand_061.brasp,1.0,1.0,1,PROVED
rand_062,3,3,2,2,examples/brasp/random100/rand_062.brasp,1.0,1.0,1,PROVED
rand_064,3,3,1,1,examples/brasp/random100/rand_064.brasp,1.0,1.0,1,PROVED
rand_065,3,2,1,1,examples/brasp/random100/rand_065.brasp,1.0,1.0,1,PROVED
rand_066,3,3,1,1,examples/brasp/random100/rand_066.brasp,1.0,1.0,1,PROVED
rand_067,3,4,1,2,examples/brasp/random100/rand_067.brasp,1.0,1.0,1,PROVED
rand_068,3,4,1,2,examples/brasp/random100/rand_068.brasp,1.0,1.0,1,PROVED
rand_069,3,4,1,1,examples/brasp/random100/rand_069.brasp,1.0,1.0,1,PROVED
rand_070,3,4,1,1,examples/brasp/random100/rand_070.brasp,1.0,1.0,1,PROVED
rand_071,3,4,1,1,examples/brasp/random100/rand_071.brasp,1.0,1.0,1,PROVED
rand_072,3,4,1,1,examples/brasp/random100/rand_072.brasp,1.0,1.0,1,PROVED
rand_073,3,3,1,1,examples/brasp/random100/rand_073.brasp,1.0,1.0,1,PROVED
rand_075,3,3,1,2,examples/brasp/random100/rand_075.brasp,1.0,1.0,1,PROVED
rand_077,3,2,1,1,examples/brasp/random100/rand_077.brasp,1.0,1.0,1,PROVED
rand_078,3,2,1,1,examples/brasp/random100/rand_078.brasp,1.0,1.0,1,PROVED
rand_080,3,4,2,2,examples/brasp/random100/rand_080.brasp,1.0,1.0,1,PROVED
rand_081,3,4,1,1,examples/brasp/random100/rand_081.brasp,1.0,1.0,1,PROVED
rand_082,3,4,1,2,examples/brasp/random100/rand_082.brasp,1.0,1.0,1,PROVED
rand_083,3,3,1,1,examples/brasp/random100/rand_083.brasp,1.0,1.0,1,PROVED
rand_085,3,3,1,1,examples/brasp/random100/rand_085.brasp,1.0,1.0,1,PROVED
rand_086,3,2,1,1,examples/brasp/random100/rand_086.brasp,1.0,1.0,1,PROVED
rand_087,3,3,1,1,examples/brasp/random100/rand_087.brasp,1.0,1.0,1,PROVED
rand_088,3,4,1,1,examples/brasp/random100/rand_088.brasp,1.0,1.0,1,PROVED
rand_089,3,2,1,2,examples/brasp/random100/rand_089.brasp,1.0,1.0,1,PROVED
rand_090,3,3,1,1,examples/brasp/random100/rand_090.brasp,1.0,1.0,1,PROVED
rand_091,3,2,1,2,examples/brasp/random100/rand_091.brasp,1.0,1.0,1,PROVED
rand_092,3,3,1,1,examples/brasp/random100/rand_092.brasp,1.0,1.0,1,PROVED
rand_093,3,3,2,2,examples/brasp/random100/rand_093.brasp,1.0,1.0,1,PROVED
rand_094,3,3,1,1,examples/brasp/random100/rand_094.brasp,1.0,1.0,1,PROVED
rand_095,3,2,2,1,examples/brasp/random100/rand_095.brasp,1.0,1.0,1,PROVED
rand_096,3,3,1,1,examples/brasp/random100/rand_096.brasp,1.0,1.0,1,PROVED
rand_097,3,4,1,1,examples/brasp/random100/rand_097.brasp,1.0,1.0,1,PROVED
rand_098,3,4,1,1,examples/brasp/random100/rand_098.brasp,1.0,1.0,1,PROVED
rand_099,3,2,1,2,examples/brasp/random100/rand_099.brasp,1.0,1.0,1,PROVED
rand_000,4,3,1,1,examples/brasp/random100/rand_000.brasp,1.0,1.0,1,PROVED
rand_001,4,6,1,1,examples/brasp/random_deep/rand_001.brasp,1.0,1.0,1,PROVED
rand_001,4,9,1,2,examples/brasp/random_deeper/rand_001.brasp,1.0,1.0,1,PROVED
rand_002,4,11,1,1,examples/brasp/random_deeper/rand_002.brasp,1.0,1.0,1,PROVED
rand_002,4,3,1,1,examples/brasp/random100/rand_002.brasp,1.0,1.0,1,PROVED
rand_003,4,3,1,1,examples/brasp/random100/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,4,5,1,2,examples/brasp/random_deep/rand_003.brasp,1.0,1.0,1,PROVED
rand_003,4,9,1,2,examples/brasp/random_deeper/rand_003.brasp,1.0,1.0,1,PROVED
rand_004,4,4,1,1,examples/brasp/random100/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,4,5,1,2,examples/brasp/random_deep/rand_004.brasp,1.0,1.0,1,PROVED
rand_004,4,9,1,1,examples/brasp/random_deeper/rand_004.brasp,1.0,1.0,1,PROVED
rand_005,4,2,1,1,examples/brasp/random100/rand_005.brasp,1.0,1.0,1,PROVED
rand_005,4,5,1,1,examples/brasp/random_deep/rand_005.brasp,1.0,1.0,1,PROVED
rand_006,4,2,1,2,examples/brasp/random100/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,4,6,1,2,examples/brasp/random_deep/rand_006.brasp,1.0,1.0,1,PROVED
rand_006,4,9,1,2,examples/brasp/random_deeper/rand_006.brasp,1.0,1.0,1,PROVED
rand_007,4,2,1,1,examples/brasp/random100/rand_007.brasp,1.0,1.0,1,PROVED
rand_007,4,9,1,1,examples/brasp/random_deeper/rand_007.brasp,1.0,1.0,1,PROVED
rand_008,4,4,1,1,examples/brasp/random100/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,4,5,1,1,examples/brasp/random_deep/rand_008.brasp,1.0,1.0,1,PROVED
rand_008,4,9,1,1,examples/brasp/random_deeper/rand_008.brasp,1.0,1.0,1,PROVED
rand_009,4,11,1,1,examples/brasp/random_deeper/rand_009.brasp,1.0,1.0,1,PROVED
rand_009,4,2,1,1,examples/brasp/random100/rand_009.brasp,1.0,1.0,1,PROVED
rand_010,4,11,1,1,examples/brasp/random_deeper/rand_010.brasp,1.0,1.0,1,PROVED
rand_010,4,5,1,1,examples/brasp/random_deep/rand_010.brasp,1.0,1.0,1,PROVED
rand_011,4,4,1,1,examples/brasp/random100/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,4,6,1,2,examples/brasp/random_deep/rand_011.brasp,1.0,1.0,1,PROVED
rand_011,4,9,1,2,examples/brasp/random_deeper/rand_011.brasp,1.0,1.0,1,PROVED
rand_012,4,10,1,1,examples/brasp/random_deeper/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,4,1,1,1,examples/brasp/random100/rand_012.brasp,1.0,1.0,1,PROVED
rand_012,4,5,1,1,examples/brasp/random_deep/rand_012.brasp,1.0,1.0,1,PROVED
rand_013,4,3,1,2,examples/brasp/random100/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,4,8,1,1,examples/brasp/random_deep/rand_013.brasp,1.0,1.0,1,PROVED
rand_013,4,9,1,2,examples/brasp/random_deeper/rand_013.brasp,1.0,1.0,1,PROVED
rand_014,4,3,1,2,examples/brasp/random100/rand_014.brasp,1.0,1.0,1,PROVED
rand_014,4,6,1,1,examples/brasp/random_deep/rand_014.brasp,1.0,1.0,1,PROVED
rand_015,4,3,1,2,examples/brasp/random100/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,4,6,1,1,examples/brasp/random_deep/rand_015.brasp,1.0,1.0,1,PROVED
rand_015,4,9,1,1,examples/brasp/random_deeper/rand_015.brasp,1.0,1.0,1,PROVED
rand_016,4,3,1,1,examples/brasp/random100/rand_016.brasp,1.0,1.0,1,PROVED
rand_016,4,5,1,1,examples/brasp/random_deep/rand_016.brasp,1.0,1.0,1,PROVED
rand_018,4,2,1,1,examples/brasp/random100/rand_018.brasp,1.0,1.0,1,PROVED
rand_018,4,5,1,1,examples/brasp/random_deep/rand_018.brasp,1.0,1.0,1,PROVED
rand_019,4,3,2,1,examples/brasp/random100/rand_019.brasp,1.0,1.0,1,PROVED
rand_019,4,5,1,1,examples/brasp/random_deep/rand_019.brasp,1.0,1.0,1,PROVED
rand_020,4,3,1,1,examples/brasp/random100/rand_020.brasp,1.0,1.0,1,PROVED
rand_020,4,6,1,2,examples/brasp/random_deep/rand_020.brasp,1.0,1.0,1,PROVED
rand_021,4,4,1,2,examples/brasp/random100/rand_021.brasp,1.0,1.0,1,PROVED
rand_022,4,5,1,1,examples/brasp/random_deep/rand_022.brasp,1.0,1.0,1,PROVED
rand_023,4,4,2,2,examples/brasp/random100/rand_023.brasp,1.0,1.0,1,PROVED
rand_023,4,5,1,2,examples/brasp/random_deep/rand_023.brasp,1.0,1.0,1,PROVED
rand_024,4,2,1,1,examples/brasp/random100/rand_024.brasp,1.0,1.0,1,PROVED
rand_025,4,4,1,2,examples/brasp/random100/rand_025.brasp,1.0,1.0,1,PROVED
rand_027,4,3,1,2,examples/brasp/random100/rand_027.brasp,1.0,1.0,1,PROVED
