corpus,language,layers,heads,terms,spec_depth,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,spec_empty,agrees,verify_seconds
random,rand_014,1,1,1,1,0,18.1,1.0,1.0,false,false,true,1.77
random,rand_015,2,1,1,2,2,40.8,1.0,1.0,false,false,true,1.81
random,rand_016,2,1,1,2,2,122.5,1.0,1.0,false,false,true,1.75
random,rand_017,2,1,1,2,2,46.0,1.0,1.0,false,false,true,1.76
random,rand_018,1,1,1,1,1,27.5,1.0,1.0,false,false,true,1.75
random,rand_019,2,1,1,2,1,39.7,1.0,1.0,false,false,true,1.79
random,rand_020,3,1,1,3,2,54.4,1.0,1.0,false,false,true,1.81
random,rand_021,2,1,1,2,2,41.7,1.0,1.0,false,false,true,1.88
random,rand_022,1,1,1,1,1,29.8,1.0,1.0,false,false,true,1.81
random,rand_023,3,1,1,3,2,46.5,1.0,1.0,false,false,true,1.83
random,rand_024,2,1,1,2,2,43.1,1.0,1.0,false,false,true,1.94
random,rand_025,4,1,1,4,4,58.4,1.0,1.0,false,false,true,1.99
random,rand_026,2,1,1,2,2,42.3,1.0,1.0,false,false,true,1.96
random,rand_027,2,1,1,2,2,42.0,1.0,1.0,false,false,true,1.94
random,rand_028,2,1,2,2,2,48.8,1.0,1.0,false,false,true,2.04
random,rand_029,3,1,1,3,3,51.8,1.0,1.0,false,false,true,2.11
random,rand_030,2,1,1,2,1,42.3,1.0,1.0,false,false,true,1.96
random,rand_031,1,1,1,1,0,27.2,1.0,1.0,false,false,true,1.97
random,rand_032,3,1,2,3,3,66.3,1.0,1.0,false,false,true,2.06
random,rand_033,2,1,1,2,2,85.6,1.0,1.0,false,false,true,1.91
random,rand_034,1,2,1,1,1,41.6,1.0,1.0,false,false,true,2.0
random,rand_035,2,1,1,2,2,88.8,1.0,1.0,false,false,true,2.17
random,rand_036,4,1,1,4,2,62.4,1.0,1.0,false,false,true,2.06
random,rand_037,2,1,1,2,2,82.0,1.0,1.0,false,false,true,2.01
random,rand_038,5,1,1,4,5,194.2,1.0,1.0,false,false,true,2.01
random,rand_039,1,1,1,1,1,53.1,1.0,1.0,false,false,true,1.95
random,rand_040,2,1,1,2,2,43.1,1.0,1.0,true,true,true,1.88
random,rand_041,2,1,1,2,2,43.6,1.0,1.0,true,true,true,1.88
random,rand_042,1,1,1,1,2,29.4,1.0,1.0,true,true,true,1.8
random,rand_043,3,1,1,3,4,50.8,1.0,1.0,true,true,true,1.93
random,rand_044,2,1,1,2,2,41.7,1.0,1.0,true,true,true,1.88
random,rand_045,1,1,1,1,2,29.4,1.0,1.0,true,true,true,1.91
random,rand_046,3,1,1,3,4,50.0,1.0,1.0,true,true,true,1.92
random,rand_047,3,1,1,3,3,52.1,1.0,1.0,true,true,true,1.95
