task,stem,source,layers,heads,terms,train_seconds,train_accuracy,holdout_accuracy,test_accuracy,certified,equivalence,equivalence_seconds,emptiness,emptiness_seconds
rand_044,rand_044__l2_h1_t1,examples/brasp/random100/rand_044.brasp,2,1,1,42.8,1.0,1.0,1.0,1,PROVED,2.54,non-empty,2.52
rand_045,rand_045__l3_h1_t1,examples/brasp/random100/rand_045.brasp,3,1,1,50.3,1.0,1.0,1.0,1,PROVED,2.75,non-empty,2.31
rand_047,rand_047__l3_h1_t1,examples/brasp/random100/rand_047.brasp,3,1,1,49.6,1.0,1.0,1.0,1,PROVED,3.91,non-empty,1.71
rand_050,rand_050__l4_h1_t2,examples/brasp/random100/rand_050.brasp,4,1,2,293.7,1.0,1.0,1.0,1,PROVED,2.02,non-empty,1.9
rand_051,rand_051__l3_h1_t1,examples/brasp/random100/rand_051.brasp,3,1,1,59.2,1.0,1.0,1.0,1,PROVED,1.33,non-empty,1.16
rand_053,rand_053__l3_h1_t1,examples/brasp/random100/rand_053.brasp,3,1,1,51.4,1.0,1.0,1.0,1,PROVED,1.21,non-empty,0.93
rand_054,rand_054__l3_h1_t1,examples/brasp/random100/rand_054.brasp,3,1,1,52.9,1.0,1.0,1.0,1,PROVED,1.04,non-empty,0.92
rand_055,rand_055__l2_h1_t1,examples/brasp/random100/rand_055.brasp,2,1,1,129.2,1.0,1.0,1.0,1,PROVED,1.11,non-empty,0.88
rand_056,rand_056__l2_h1_t1,examples/brasp/random100/rand_056.brasp,2,1,1,44.0,1.0,1.0,1.0,1,PROVED,0.93,non-empty,0.8
rand_057,rand_057__l3_h1_t1,examples/brasp/random100/rand_057.brasp,3,1,1,49.9,1.0,1.0,1.0,1,PROVED,0.91,non-empty,0.83
rand_059,rand_059__l2_h1_t1,examples/brasp/random100/rand_059.brasp,2,1,1,84.7,1.0,1.0,1.0,1,PROVED,0.97,non-empty,0.8
rand_060,rand_060__l1_h2_t1,examples/brasp/random100/rand_060.brasp,1,2,1,38.8,1.0,1.0,1.0,1,PROVED,1.15,non-empty,0.88
rand_061,rand_061__l3_h1_t1,examples/brasp/random100/rand_061.brasp,3,1,1,50.2,1.0,1.0,1.0,1,PROVED,0.95,non-empty,0.93
rand_063,rand_063__l4_h2_t2,examples/brasp/random100/rand_063.brasp,4,2,2,471.4,1.0,1.0,1.0,1,PROVED,1.17,non-empty,1.09
rand_064,rand_064__l3_h1_t1,examples/brasp/random100/rand_064.brasp,3,1,1,52.4,1.0,1.0,1.0,1,PROVED,0.96,non-empty,0.89
rand_065,rand_065__l2_h1_t1,examples/brasp/random100/rand_065.brasp,2,1,1,216.6,1.0,1.0,1.0,1,PROVED,0.97,non-empty,0.85
rand_067,rand_067__l4_h1_t2,examples/brasp/random100/rand_067.brasp,4,1,2,55.9,1.0,1.0,1.0,1,PROVED,0.99,non-empty,0.86
rand_068,rand_068__l4_h1_t2,examples/brasp/random100/rand_068.brasp,4,1,2,58.7,1.0,1.0,1.0,1,PROVED,1.18,non-empty,1.04
rand_070,rand_070__l4_h1_t1,examples/brasp/random100/rand_070.brasp,4,1,1,63.6,1.0,1.0,1.0,1,PROVED,0.97,non-empty,0.9
rand_071,rand_071__l4_h1_t1,examples/brasp/random100/rand_071.brasp,4,1,1,57.2,1.0,1.0,1.0,1,PROVED,0.96,non-empty,0.8
rand_072,rand_072__l4_h1_t1,examples/brasp/random100/rand_072.brasp,4,1,1,730.6,1.0,1.0,1.0,1,PROVED,0.89,non-empty,0.79
rand_073,rand_073__l3_h1_t1,examples/brasp/random100/rand_073.brasp,3,1,1,50.8,1.0,1.0,1.0,1,PROVED,0.89,non-empty,0.81
rand_075,rand_075__l3_h1_t2,examples/brasp/random100/rand_075.brasp,3,1,2,46.7,1.0,1.0,1.0,1,PROVED,0.92,non-empty,0.81
rand_077,rand_077__l2_h1_t1,examples/brasp/random100/rand_077.brasp,2,1,1,228.5,1.0,1.0,1.0,1,PROVED,0.85,non-empty,0.74
rand_078,rand_078__l2_h1_t1,examples/brasp/random100/rand_078.brasp,2,1,1,44.6,1.0,1.0,1.0,1,PROVED,0.84,non-empty,0.77
rand_082,rand_082__l4_h1_t2,examples/brasp/random100/rand_082.brasp,4,1,2,127.7,1.0,1.0,1.0,1,PROVED,0.91,non-empty,0.85
rand_083,rand_083__l3_h1_t1,examples/brasp/random100/rand_083.brasp,3,1,1,50.8,1.0,1.0,1.0,1,PROVED,1.03,non-empty,0.83
rand_085,rand_085__l3_h1_t1,examples/brasp/random100/rand_085.brasp,3,1,1,56.4,1.0,1.0,1.0,1,PROVED,0.86,non-empty,0.76
rand_087,rand_087__l3_h1_t1,examples/brasp/random100/rand_087.brasp,3,1,1,231.2,1.0,1.0,1.0,1,PROVED,0.87,non-empty,0.84
rand_089,rand_089__l2_h1_t2,examples/brasp/random100/rand_089.brasp,2,1,2,42.2,1.0,1.0,1.0,1,PROVED,0.87,non-empty,0.73
rand_090,rand_090__l3_h1_t1,examples/brasp/random100/rand_090.brasp,3,1,1,53.7,1.0,1.0,1.0,1,PROVED,0.83,non-empty,0.73
rand_093,rand_093__l3_h2_t2,examples/brasp/random100/rand_093.brasp,3,2,2,341.4,1.0,1.0,1.0,1,PROVED,0.9,non-empty,0.83
rand_094,rand_094__l3_h1_t1,examples/brasp/random100/rand_094.brasp,3,1,1,50.9,1.0,1.0,1.0,1,PROVED,0.79,non-empty,0.71
rand_096,rand_096__l3_h1_t1,examples/brasp/random100/rand_096.brasp,3,1,1,52.2,1.0,1.0,1.0,1,PROVED,0.75,non-empty,0.72
rand_097,rand_097__l4_h1_t1,examples/brasp/random100/rand_097.brasp,4,1,1,545.7,1.0,1.0,1.0,1,PROVED,0.78,non-empty,0.74
rand_098,rand_098__l4_h1_t1,examples/brasp/random100/rand_098.brasp,4,1,1,60.0,1.0,1.0,1.0,1,PROVED,0.96,non-empty,0.77
rand_099,rand_099__l2_h1_t2,examples/brasp/random100/rand_099.brasp,2,1,2,47.1,1.0,1.0,1.0,1,PROVED,0.77,non-empty,0.75
