task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,test_positive_rate,status,empty,verdict,verify_seconds,spec_empty,agrees
rand_063,4,2,2,8,244.5,1.0,1.0,0.5,ok,false,non-empty,1.52,false,true
rand_064,3,1,1,1,50.4,1.0,1.0,0.5,ok,false,non-empty,1.34,false,true
rand_065,2,1,1,2,31.4,1.0,1.0,0.5,ok,false,non-empty,1.38,false,true
rand_066,3,1,1,3,92.5,1.0,1.0,0.5,ok,false,non-empty,1.52,false,true
rand_067,4,1,2,4,76.8,1.0,1.0,0.5,ok,false,non-empty,1.63,false,true
rand_068,4,1,2,4,80.5,1.0,1.0,0.5,ok,false,non-empty,1.95,false,true
rand_069,4,1,1,3,56.8,1.0,1.0,0.5,ok,false,non-empty,1.74,false,true
rand_070,4,1,1,4,105.1,1.0,1.0,0.5,ok,false,non-empty,1.64,false,true
rand_071,4,1,1,4,53.2,1.0,1.0,0.5,ok,false,non-empty,1.59,false,true
rand_072,4,1,1,4,53.3,1.0,1.0,0.5,ok,false,non-empty,1.61,false,true
rand_073,3,1,1,3,39.2,1.0,1.0,0.5,ok,false,non-empty,1.63,false,true
rand_075,3,1,2,3,109.0,1.0,1.0,0.5,ok,false,non-empty,1.6,false,true
rand_076,3,2,2,6,98.0,1.0,1.0,0.5,ok,false,non-empty,1.78,false,true
rand_077,2,1,1,2,42.0,1.0,1.0,0.5,ok,false,non-empty,1.66,false,true
rand_078,2,1,1,2,41.5,1.0,1.0,0.5,ok,false,non-empty,1.45,false,true
rand_080,4,2,2,8,125.8,1.0,1.0,0.5,ok,false,non-empty,1.71,false,true
rand_081,4,1,1,3,46.2,1.0,1.0,0.5,ok,false,non-empty,1.4,false,true
rand_082,4,1,2,4,72.5,1.0,1.0,0.5,ok,false,non-empty,1.39,false,true
rand_083,3,1,1,3,57.9,1.0,1.0,0.5,ok,false,non-empty,1.63,false,true
rand_085,3,1,1,2,40.1,1.0,1.0,0.5,ok,false,non-empty,1.42,false,true
rand_086,2,1,1,1,42.0,1.0,1.0,0.5,ok,false,non-empty,1.43,false,true
rand_087,3,1,1,3,56.7,1.0,1.0,0.5,ok,false,non-empty,1.56,false,true
rand_088,4,1,1,4,56.8,1.0,1.0,0.5,ok,false,non-empty,1.53,false,true
rand_089,2,1,2,2,48.8,1.0,1.0,0.5,ok,false,non-empty,1.49,false,true
rand_090,3,1,1,3,48.4,1.0,1.0,0.5,ok,false,non-empty,1.57,false,true
rand_091,2,1,2,2,79.6,1.0,1.0,0.5,ok,false,non-empty,1.45,false,true
rand_092,3,1,1,1,39.5,1.0,1.0,0.5,ok,false,non-empty,1.45,false,true
rand_093,3,2,2,6,102.9,1.0,1.0,0.5,ok,false,non-empty,1.59,false,true
rand_094,3,1,1,3,50.8,1.0,1.0,0.5,ok,false,non-empty,1.44,false,true
rand_095,2,2,1,4,106.1,1.0,1.0,0.5,ok,false,non-empty,1.49,false,true
rand_096,3,1,1,2,52.9,1.0,1.0,0.5,ok,false,non-empty,1.35,false,true
rand_097,4,1,1,4,109.0,1.0,1.0,0.5,ok,false,non-empty,1.35,false,true
rand_098,4,1,1,4,53.5,1.0,1.0,0.5,ok,false,non-empty,1.53,false,true
rand_099,2,1,2,2,43.0,1.0,1.0,0.5,ok,false,non-empty,1.35,false,true
