task,layers,heads,terms,attention_ops,spec_depth,solved_configs,tried_configs,source
rand_031,3,1,1,3,3,8,8,examples/brasp/random100/rand_031.brasp
rand_032,2,1,1,2,2,8,8,examples/brasp/random100/rand_032.brasp
rand_033,2,1,1,2,2,5,8,examples/brasp/random100/rand_033.brasp
rand_034,3,1,1,1,3,8,8,examples/brasp/random100/rand_034.brasp
rand_035,3,1,1,3,3,8,8,examples/brasp/random100/rand_035.brasp
rand_036,2,1,1,2,2,8,8,examples/brasp/random100/rand_036.brasp
rand_037,3,1,1,3,3,7,8,examples/brasp/random100/rand_037.brasp
rand_038,4,2,2,8,4,1,8,examples/brasp/random100/rand_038.brasp
rand_039,3,1,1,3,3,8,8,examples/brasp/random100/rand_039.brasp
rand_040,3,1,1,3,3,8,8,examples/brasp/random100/rand_040.brasp
rand_041,1,2,1,1,1,6,8,examples/brasp/random100/rand_041.brasp
rand_043,3,1,1,2,3,8,8,examples/brasp/random100/rand_043.brasp
rand_044,2,1,1,2,2,6,8,examples/brasp/random100/rand_044.brasp
rand_045,3,1,1,3,3,7,8,examples/brasp/random100/rand_045.brasp
rand_047,3,1,1,3,2,3,8,examples/brasp/random100/rand_047.brasp
rand_048,4,1,2,4,3,2,8,examples/brasp/random100/rand_048.brasp
rand_049,3,1,2,3,3,3,8,examples/brasp/random100/rand_049.brasp
rand_050,4,1,2,4,4,5,8,examples/brasp/random100/rand_050.brasp
rand_051,3,1,1,3,3,8,8,examples/brasp/random100/rand_051.brasp
rand_052,2,1,1,2,2,8,8,examples/brasp/random100/rand_052.brasp
rand_053,3,1,1,3,3,8,8,examples/brasp/random100/rand_053.brasp
rand_054,3,1,1,3,3,8,8,examples/brasp/random100/rand_054.brasp
rand_055,2,1,1,2,2,7,8,examples/brasp/random100/rand_055.brasp
rand_056,2,1,1,2,2,8,8,examples/brasp/random100/rand_056.brasp
rand_057,3,1,1,3,3,8,8,examples/brasp/random100/rand_057.brasp
rand_059,2,1,1,2,2,4,8,examples/brasp/random100/rand_059.brasp
rand_060,1,2,1,1,1,6,8,examples/brasp/random100/rand_060.brasp
rand_061,3,1,1,2,3,8,8,examples/brasp/random100/rand_061.brasp
rand_062,3,2,2,6,2,1,8,examples/brasp/random100/rand_062.brasp
rand_063,4,2,2,8,4,2,8,examples/brasp/random100/rand_063.brasp
rand_064,3,1,1,1,3,8,8,examples/brasp/random100/rand_064.brasp
rand_065,2,1,1,2,2,8,8,examples/brasp/random100/rand_065.brasp
rand_066,3,1,1,3,3,7,8,examples/brasp/random100/rand_066.brasp
rand_067,4,1,2,4,4,7,8,examples/brasp/random100/rand_067.brasp
rand_068,4,1,2,4,4,6,8,examples/brasp/random100/rand_068.brasp
rand_069,4,1,1,3,4,8,8,examples/brasp/random100/rand_069.brasp
rand_070,4,1,1,4,4,8,8,examples/brasp/random100/rand_070.brasp
rand_071,4,1,1,4,4,8,8,examples/brasp/random100/rand_071.brasp
rand_072,4,1,1,4,4,8,8,examples/brasp/random100/rand_072.brasp
rand_073,3,1,1,3,3,8,8,examples/brasp/random100/rand_073.brasp
rand_075,3,1,2,3,3,4,8,examples/brasp/random100/rand_075.brasp
rand_076,3,2,2,6,3,1,8,examples/brasp/random100/rand_076.brasp
rand_077,2,1,1,2,2,7,8,examples/brasp/random100/rand_077.brasp
rand_078,2,1,1,2,2,8,8,examples/brasp/random100/rand_078.brasp
rand_080,4,2,2,8,4,3,8,examples/brasp/random100/rand_080.brasp
rand_081,4,1,1,3,4,7,8,examples/brasp/random100/rand_081.brasp
rand_082,4,1,2,4,4,5,8,examples/brasp/random100/rand_082.brasp
rand_083,3,1,1,3,3,8,8,examples/brasp/random100/rand_083.brasp
rand_085,3,1,1,2,3,8,8,examples/brasp/random100/rand_085.brasp
rand_086,2,1,1,1,2,8,8,examples/brasp/random100/rand_086.brasp
rand_087,3,1,1,3,3,8,8,examples/brasp/random100/rand_087.brasp
rand_088,4,1,1,4,4,8,8,examples/brasp/random100/rand_088.brasp
rand_089,2,1,2,2,2,7,8,examples/brasp/random100/rand_089.brasp
rand_090,3,1,1,3,3,8,8,examples/brasp/random100/rand_090.brasp
rand_091,2,1,2,2,2,5,8,examples/brasp/random100/rand_091.brasp
rand_092,3,1,1,1,3,8,8,examples/brasp/random100/rand_092.brasp
rand_093,3,2,2,6,3,4,8,examples/brasp/random100/rand_093.brasp
rand_094,3,1,1,3,3,8,8,examples/brasp/random100/rand_094.brasp
rand_095,2,2,1,4,2,6,8,examples/brasp/random100/rand_095.brasp
rand_096,3,1,1,2,3,8,8,examples/brasp/random100/rand_096.brasp
rand_097,4,1,1,4,4,8,8,examples/brasp/random100/rand_097.brasp
rand_098,4,1,1,4,4,7,8,examples/brasp/random100/rand_098.brasp
rand_099,2,1,2,2,2,4,8,examples/brasp/random100/rand_099.brasp
