task,stem,layers,heads,terms,train_seconds,train,holdout,longword,verdict,equivalence_seconds
rand_016,rand_016__l5_h1_t1,5,1,1,67.9,1.0,0.998779,1.0,PROVED,0.64
rand_018,rand_018__l2_h1_t1,2,1,1,45.4,1.0,0.998779,1.0,PROVED,0.6
rand_018,rand_018__l5_h1_t1,5,1,1,130.4,1.0,1.0,1.0,PROVED,0.8
rand_019,rand_019__l3_h2_t1,3,2,1,866.0,0.997558,0.997558,0.897,DIFFERENT,0.63
rand_019,rand_019__l5_h1_t1,5,1,1,132.4,1.0,1.0,1.0,PROVED,0.65
rand_020,rand_020__l3_h1_t1,3,1,1,628.8,0.997253,0.997558,0.9965,DIFFERENT,0.63
rand_020,rand_020__l6_h1_t2,6,1,2,78.5,1.0,1.0,1.0,PROVED,0.68
rand_021,rand_021__l4_h1_t2,4,1,2,677.6,0.981326,0.978659,1.0,DIFFERENT,0.73
rand_022,rand_022__l5_h1_t1,5,1,1,65.6,1.0,0.998476,1.0,PROVED,0.65
rand_023,rand_023__l4_h2_t2,4,2,2,578.4,1.0,0.998476,1.0,PROVED,0.79
rand_023,rand_023__l5_h1_t2,5,1,2,73.8,1.0,0.998779,1.0,PROVED,0.65
rand_024,rand_024__l2_h1_t1,2,1,1,124.4,1.0,1.0,1.0,PROVED,0.66
rand_025,rand_025__l4_h1_t2,4,1,2,60.1,1.0,1.0,1.0,PROVED,0.7
rand_027,rand_027__l3_h1_t2,3,1,2,156.6,1.0,1.0,1.0,PROVED,0.68
rand_028,rand_028__l3_h1_t1,3,1,1,50.0,1.0,1.0,1.0,PROVED,0.63
rand_029,rand_029__l3_h1_t1,3,1,1,50.1,1.0,1.0,1.0,PROVED,0.66
rand_030,rand_030__l4_h1_t1,4,1,1,703.1,0.96398,0.974359,0.9865,DIFFERENT,0.68
rand_031,rand_031__l3_h1_t1,3,1,1,50.8,1.0,1.0,1.0,PROVED,0.62
rand_032,rand_032__l2_h1_t1,2,1,1,42.9,1.0,1.0,1.0,PROVED,0.64
rand_033,rand_033__l2_h1_t1,2,1,1,267.9,1.0,1.0,1.0,PROVED,0.63
rand_034,rand_034__l3_h1_t1,3,1,1,51.1,1.0,0.998779,1.0,PROVED,0.69
rand_035,rand_035__l3_h1_t1,3,1,1,51.3,1.0,1.0,1.0,PROVED,0.65
rand_036,rand_036__l2_h1_t1,2,1,1,42.2,1.0,1.0,1.0,PROVED,0.62
rand_037,rand_037__l3_h1_t1,3,1,1,102.0,1.0,1.0,1.0,PROVED,0.61
rand_038,rand_038__l4_h2_t2,4,2,2,530.1,1.0,1.0,1.0,PROVED,0.74
rand_039,rand_039__l3_h1_t1,3,1,1,468.7,1.0,1.0,1.0,PROVED,0.63
rand_040,rand_040__l3_h1_t1,3,1,1,50.1,1.0,1.0,1.0,PROVED,0.68
rand_041,rand_041__l1_h2_t1,1,2,1,41.2,1.0,1.0,1.0,PROVED,0.63
rand_043,rand_043__l3_h1_t1,3,1,1,49.9,1.0,1.0,1.0,PROVED,0.61
rand_044,rand_044__l2_h1_t1,2,1,1,42.8,1.0,1.0,1.0,PROVED,0.64
rand_045,rand_045__l3_h1_t1,3,1,1,50.3,1.0,1.0,1.0,PROVED,0.61
rand_047,rand_047__l3_h1_t1,3,1,1,49.6,1.0,1.0,1.0,PROVED,0.65
rand_048,rand_048__l4_h1_t2,4,1,2,64.2,1.0,0.997558,1.0,DIFFERENT,0.68
rand_049,rand_049__l3_h1_t2,3,1,2,594.9,0.998476,0.995427,1.0,DIFFERENT,0.66
rand_050,rand_050__l4_h1_t2,4,1,2,293.7,1.0,1.0,1.0,PROVED,0.7
rand_051,rand_051__l3_h1_t1,3,1,1,59.2,1.0,1.0,1.0,PROVED,0.71
rand_052,rand_052__l2_h1_t1,2,1,1,124.6,1.0,0.998779,1.0,DIFFERENT,0.62
rand_053,rand_053__l3_h1_t1,3,1,1,51.4,1.0,1.0,1.0,PROVED,0.64
rand_054,rand_054__l3_h1_t1,3,1,1,52.9,1.0,1.0,1.0,PROVED,0.67
rand_055,rand_055__l2_h1_t1,2,1,1,129.2,1.0,1.0,1.0,PROVED,0.64
rand_056,rand_056__l2_h1_t1,2,1,1,44.0,1.0,1.0,1.0,PROVED,0.64
rand_057,rand_057__l3_h1_t1,3,1,1,49.9,1.0,1.0,1.0,PROVED,0.64
rand_059,rand_059__l2_h1_t1,2,1,1,84.7,1.0,1.0,1.0,PROVED,0.69
rand_060,rand_060__l1_h2_t1,1,2,1,38.8,1.0,1.0,1.0,PROVED,0.65
rand_061,rand_061__l3_h1_t1,3,1,1,50.2,1.0,1.0,1.0,PROVED,0.6
rand_062,rand_062__l3_h2_t2,3,2,2,296.8,1.0,0.998476,1.0,PROVED,1.12
rand_063,rand_063__l4_h2_t2,4,2,2,471.4,1.0,1.0,1.0,PROVED,0.7
rand_064,rand_064__l3_h1_t1,3,1,1,52.4,1.0,1.0,1.0,PROVED,0.63
rand_065,rand_065__l2_h1_t1,2,1,1,216.6,1.0,1.0,1.0,PROVED,0.62
rand_066,rand_066__l3_h1_t1,3,1,1,51.4,1.0,0.998476,1.0,PROVED,0.63
rand_067,rand_067__l4_h1_t2,4,1,2,55.9,1.0,1.0,1.0,PROVED,0.72
rand_068,rand_068__l4_h1_t2,4,1,2,58.7,1.0,1.0,1.0,PROVED,0.67
rand_069,rand_069__l4_h1_t1,4,1,1,59.0,1.0,0.998476,1.0,PROVED,0.67
rand_070,rand_070__l4_h1_t1,4,1,1,63.6,1.0,1.0,1.0,PROVED,0.65
rand_071,rand_071__l4_h1_t1,4,1,1,57.2,1.0,1.0,1.0,PROVED,0.67
rand_072,rand_072__l4_h1_t1,4,1,1,730.6,1.0,1.0,1.0,PROVED,0.62
rand_073,rand_073__l3_h1_t1,3,1,1,50.8,1.0,1.0,1.0,PROVED,0.66
rand_075,rand_075__l3_h1_t2,3,1,2,46.7,1.0,1.0,1.0,PROVED,0.69
rand_076,rand_076__l3_h2_t2,3,2,2,476.8,1.0,0.998476,1.0,PROVED,0.72
rand_077,rand_077__l2_h1_t1,2,1,1,228.5,1.0,1.0,1.0,PROVED,0.65
rand_078,rand_078__l2_h1_t1,2,1,1,44.6,1.0,1.0,1.0,PROVED,0.64
rand_080,rand_080__l4_h2_t2,4,2,2,407.8,1.0,0.998476,1.0,PROVED,0.79
rand_081,rand_081__l4_h1_t1,4,1,1,154.2,1.0,0.998476,1.0,PROVED,0.65
rand_082,rand_082__l4_h1_t2,4,1,2,127.7,1.0,1.0,1.0,PROVED,0.64
rand_083,rand_083__l3_h1_t1,3,1,1,50.8,1.0,1.0,1.0,PROVED,0.64
rand_085,rand_085__l3_h1_t1,3,1,1,56.4,1.0,1.0,1.0,PROVED,0.62
rand_086,rand_086__l2_h1_t1,2,1,1,81.8,1.0,0.998476,1.0,PROVED,0.64
rand_087,rand_087__l3_h1_t1,3,1,1,231.2,1.0,1.0,1.0,PROVED,0.97
rand_088,rand_088__l4_h1_t1,4,1,1,61.2,1.0,0.998476,1.0,PROVED,0.64
rand_089,rand_089__l2_h1_t2,2,1,2,42.2,1.0,1.0,1.0,PROVED,0.69
rand_090,rand_090__l3_h1_t1,3,1,1,53.7,1.0,1.0,1.0,PROVED,0.67
rand_091,rand_091__l2_h1_t2,2,1,2,488.3,0.997863,0.996337,0.996,DIFFERENT,0.63
rand_092,rand_092__l3_h1_t1,3,1,1,52.6,1.0,0.998476,1.0,PROVED,0.66
rand_093,rand_093__l3_h2_t2,3,2,2,341.4,1.0,1.0,1.0,PROVED,0.74
rand_094,rand_094__l3_h1_t1,3,1,1,50.9,1.0,1.0,1.0,PROVED,0.63
rand_095,rand_095__l2_h2_t1,2,2,1,221.6,1.0,0.998476,1.0,PROVED,0.77
rand_096,rand_096__l3_h1_t1,3,1,1,52.2,1.0,1.0,1.0,PROVED,0.61
rand_097,rand_097__l4_h1_t1,4,1,1,545.7,1.0,1.0,1.0,PROVED,0.61
rand_098,rand_098__l4_h1_t1,4,1,1,60.0,1.0,1.0,1.0,PROVED,0.78
rand_099,rand_099__l2_h1_t2,2,1,2,47.1,1.0,1.0,1.0,PROVED,0.61
