route,instance,median_s,min_s,max_s,verdict
sym,y_depth k=8000,7.3,6.4,8.2,NOT_PROVED
sym,no2a k=8,0.8,0.8,0.9,NOT_PROVED
sym,no2a k=1000,1.3,1.3,1.3,NOT_PROVED
sym,no2a k=4000,2.6,2.4,2.6,NOT_PROVED
sym,mono sigma=64,1.8,1.7,1.9,NOT_PROVED
sym,mono sigma=128,10.2,8.4,11.6,NOT_PROVED
sym,mono sigma=256,20.2,20.1,20.3,TIMEOUT
sym,since sigma=8,0.7,0.7,0.8,NOT_PROVED
sym,since sigma=32,0.8,0.7,0.8,NOT_PROVED
sym,since sigma=128,1.3,1.3,1.6,NOT_PROVED
sym,slb sigma=8,0.7,0.7,0.7,NOT_PROVED
sym,slb sigma=64,0.9,0.9,1.4,NOT_PROVED
sym,slb sigma=256,3.3,3.3,3.5,NOT_PROVED
sym,empty dot_depth k=9,0.8,0.7,0.8,PROVED
sym,empty dot_depth k=16,0.8,0.8,0.8,PROVED
sym,empty dot_depth k=20,1.0,0.9,1.0,PROVED
sym,empty dot_depth k=24,1.0,1.0,1.0,PROVED
sym,empty y_depth k=32,0.9,0.9,1.0,PROVED
1var+sym,dot_depth k=100,1.1,1.1,1.2,NOT_PROVED
1var+sym,dot_depth k=400,1.4,1.4,1.4,NOT_PROVED
1var+sym,dot_depth k=800,3.9,2.0,5.5,NOT_PROVED
1var+sym,dot_depth k=1600,7.7,5.9,18.4,NOT_PROVED
1var+sym,y_depth k=16,1.9,1.9,2.4,NOT_PROVED
1var+sym,y_depth k=100,1.0,1.0,1.2,NOT_PROVED
1var+sym,y_depth k=500,1.9,1.3,1.9,NOT_PROVED
1var+sym,y_depth k=2000,6.2,4.4,6.7,NOT_PROVED
1var+sym,y_depth k=8000,17.3,16.1,19.0,NOT_PROVED
1var+sym,no2a k=8,0.7,0.7,0.8,NOT_PROVED
1var+sym,no2a k=1000,1.6,1.5,1.7,NOT_PROVED
1var+sym,no2a k=4000,6.2,6.1,6.6,NOT_PROVED
1var+sym,mono sigma=64,0.5,0.5,0.6,BLOWUP
1var+sym,mono sigma=128,0.7,0.7,0.9,BLOWUP
1var+sym,mono sigma=256,1.7,1.7,1.8,BLOWUP
1var+sym,since sigma=8,1.1,1.1,1.4,NOT_PROVED
1var+sym,since sigma=32,0.4,0.4,0.4,BLOWUP
1var+sym,since sigma=128,0.4,0.4,0.4,BLOWUP
1var+sym,slb sigma=8,1.0,1.0,1.0,NOT_PROVED
1var+sym,slb sigma=64,0.6,0.4,1.2,BLOWUP
1var+sym,slb sigma=256,0.8,0.8,0.9,BLOWUP
1var+sym,empty dot_depth k=9,2.0,1.9,2.9,PROVED
1var+sym,empty dot_depth k=16,20.1,20.1,20.1,TIMEOUT
1var+sym,empty dot_depth k=20,20.1,20.1,20.1,TIMEOUT
1var+sym,empty dot_depth k=24,20.1,20.1,20.1,TIMEOUT
1var+sym,empty y_depth k=32,20.1,20.1,20.1,TIMEOUT
