task,stem,source,train,holdout,spec_empty,learned,emptiness_seconds
rand_012,rand_012__l5_h1_t1,examples/brasp/random_deep/rand_012.brasp,1.0,1.0,false,non-empty,1.0
rand_013,rand_013__l3_h1_t2,examples/brasp/random100/rand_013.brasp,1.0,1.0,false,non-empty,1.04
rand_013,rand_013__l8_h1_t1,examples/brasp/random_deep/rand_013.brasp,1.0,0.998476,false,non-empty,1.08
rand_013,rand_013__l9_h1_t2,examples/brasp/random_deeper/rand_013.brasp,1.0,1.0,false,non-empty,1.29
rand_014,rand_014__l3_h1_t2,examples/brasp/random100/rand_014.brasp,1.0,1.0,false,non-empty,0.97
rand_014,rand_014__l6_h1_t1,examples/brasp/random_deep/rand_014.brasp,1.0,0.998779,false,non-empty,0.99
rand_015,rand_015__l3_h1_t2,examples/brasp/random100/rand_015.brasp,0.999619,1.0,false,non-empty,1.16
rand_015,rand_015__l6_h1_t1,examples/brasp/random_deep/rand_015.brasp,1.0,0.998476,false,non-empty,1.1
rand_015,rand_015__l9_h1_t1,examples/brasp/random_deeper/rand_015.brasp,1.0,0.998476,false,non-empty,1.09
rand_016,rand_016__l3_h1_t1,examples/brasp/random100/rand_016.brasp,1.0,0.998779,false,non-empty,1.08
rand_016,rand_016__l5_h1_t1,examples/brasp/random_deep/rand_016.brasp,1.0,0.998779,false,non-empty,1.09
rand_018,rand_018__l2_h1_t1,examples/brasp/random100/rand_018.brasp,1.0,0.998779,false,non-empty,1.1
rand_018,rand_018__l5_h1_t1,examples/brasp/random_deep/rand_018.brasp,1.0,1.0,false,non-empty,1.2
rand_019,rand_019__l3_h2_t1,examples/brasp/random100/rand_019.brasp,0.997558,0.997558,false,non-empty,1.18
rand_019,rand_019__l5_h1_t1,examples/brasp/random_deep/rand_019.brasp,1.0,1.0,false,non-empty,1.1
rand_020,rand_020__l3_h1_t1,examples/brasp/random100/rand_020.brasp,0.997253,0.997558,false,non-empty,1.22
rand_020,rand_020__l6_h1_t2,examples/brasp/random_deep/rand_020.brasp,1.0,1.0,false,non-empty,1.24
rand_021,rand_021__l4_h1_t2,examples/brasp/random100/rand_021.brasp,0.981326,0.978659,false,non-empty,1.33
rand_022,rand_022__l5_h1_t1,examples/brasp/random_deep/rand_022.brasp,1.0,0.998476,false,non-empty,1.18
rand_023,rand_023__l4_h2_t2,examples/brasp/random100/rand_023.brasp,1.0,0.998476,false,non-empty,1.36
rand_023,rand_023__l5_h1_t2,examples/brasp/random_deep/rand_023.brasp,1.0,0.998779,false,non-empty,1.26
rand_024,rand_024__l2_h1_t1,examples/brasp/random100/rand_024.brasp,1.0,1.0,false,non-empty,1.12
rand_025,rand_025__l4_h1_t2,examples/brasp/random100/rand_025.brasp,1.0,1.0,false,non-empty,1.16
rand_027,rand_027__l3_h1_t2,examples/brasp/random100/rand_027.brasp,1.0,1.0,false,non-empty,1.07
rand_028,rand_028__l3_h1_t1,examples/brasp/random100/rand_028.brasp,1.0,1.0,false,non-empty,1.0
rand_029,rand_029__l3_h1_t1,examples/brasp/random100/rand_029.brasp,1.0,1.0,false,non-empty,1.16
rand_030,rand_030__l4_h1_t1,examples/brasp/random100/rand_030.brasp,0.96398,0.974359,false,non-empty,1.31
rand_031,rand_031__l3_h1_t1,examples/brasp/random100/rand_031.brasp,1.0,1.0,false,non-empty,1.02
rand_032,rand_032__l2_h1_t1,examples/brasp/random100/rand_032.brasp,1.0,1.0,false,non-empty,1.18
rand_033,rand_033__l2_h1_t1,examples/brasp/random100/rand_033.brasp,1.0,1.0,false,non-empty,1.07
rand_034,rand_034__l3_h1_t1,examples/brasp/random100/rand_034.brasp,1.0,0.998779,false,non-empty,0.9
rand_035,rand_035__l3_h1_t1,examples/brasp/random100/rand_035.brasp,1.0,1.0,false,non-empty,0.95
rand_036,rand_036__l2_h1_t1,examples/brasp/random100/rand_036.brasp,1.0,1.0,false,non-empty,0.97
rand_037,rand_037__l3_h1_t1,examples/brasp/random100/rand_037.brasp,1.0,1.0,false,non-empty,1.03
rand_038,rand_038__l4_h2_t2,examples/brasp/random100/rand_038.brasp,1.0,1.0,false,non-empty,1.48
rand_039,rand_039__l3_h1_t1,examples/brasp/random100/rand_039.brasp,1.0,1.0,false,non-empty,1.02
rand_040,rand_040__l3_h1_t1,examples/brasp/random100/rand_040.brasp,1.0,1.0,false,non-empty,1.18
rand_041,rand_041__l1_h2_t1,examples/brasp/random100/rand_041.brasp,1.0,1.0,false,non-empty,1.04
rand_043,rand_043__l3_h1_t1,examples/brasp/random100/rand_043.brasp,1.0,1.0,false,non-empty,1.09
rand_044,rand_044__l2_h1_t1,examples/brasp/random100/rand_044.brasp,1.0,1.0,false,non-empty,1.21
rand_045,rand_045__l3_h1_t1,examples/brasp/random100/rand_045.brasp,1.0,1.0,false,non-empty,1.11
rand_047,rand_047__l3_h1_t1,examples/brasp/random100/rand_047.brasp,1.0,1.0,false,non-empty,1.36
rand_048,rand_048__l4_h1_t2,examples/brasp/random100/rand_048.brasp,1.0,0.997558,false,non-empty,1.19
rand_049,rand_049__l3_h1_t2,examples/brasp/random100/rand_049.brasp,0.998476,0.995427,false,non-empty,1.33
rand_050,rand_050__l4_h1_t2,examples/brasp/random100/rand_050.brasp,1.0,1.0,false,non-empty,1.29
rand_051,rand_051__l3_h1_t1,examples/brasp/random100/rand_051.brasp,1.0,1.0,false,non-empty,1.46
rand_052,rand_052__l2_h1_t1,examples/brasp/random100/rand_052.brasp,1.0,0.998779,false,non-empty,1.15
rand_053,rand_053__l3_h1_t1,examples/brasp/random100/rand_053.brasp,1.0,1.0,false,non-empty,1.08
rand_054,rand_054__l3_h1_t1,examples/brasp/random100/rand_054.brasp,1.0,1.0,false,non-empty,1.11
rand_055,rand_055__l2_h1_t1,examples/brasp/random100/rand_055.brasp,1.0,1.0,false,non-empty,1.21
rand_056,rand_056__l2_h1_t1,examples/brasp/random100/rand_056.brasp,1.0,1.0,false,non-empty,1.19
rand_057,rand_057__l3_h1_t1,examples/brasp/random100/rand_057.brasp,1.0,1.0,false,non-empty,1.5
rand_059,rand_059__l2_h1_t1,examples/brasp/random100/rand_059.brasp,1.0,1.0,false,non-empty,1.69
rand_060,rand_060__l1_h2_t1,examples/brasp/random100/rand_060.brasp,1.0,1.0,false,non-empty,1.19
rand_061,rand_061__l3_h1_t1,examples/brasp/random100/rand_061.brasp,1.0,1.0,false,non-empty,1.06
rand_062,rand_062__l3_h2_t2,examples/brasp/random100/rand_062.brasp,1.0,0.998476,false,non-empty,1.41
rand_063,rand_063__l4_h2_t2,examples/brasp/random100/rand_063.brasp,1.0,1.0,false,non-empty,1.16
rand_064,rand_064__l3_h1_t1,examples/brasp/random100/rand_064.brasp,1.0,1.0,false,non-empty,0.97
rand_065,rand_065__l2_h1_t1,examples/brasp/random100/rand_065.brasp,1.0,1.0,false,non-empty,1.06
rand_066,rand_066__l3_h1_t1,examples/brasp/random100/rand_066.brasp,1.0,0.998476,false,non-empty,1.1
rand_067,rand_067__l4_h1_t2,examples/brasp/random100/rand_067.brasp,1.0,1.0,false,non-empty,1.19
rand_068,rand_068__l4_h1_t2,examples/brasp/random100/rand_068.brasp,1.0,1.0,false,non-empty,1.11
rand_069,rand_069__l4_h1_t1,examples/brasp/random100/rand_069.brasp,1.0,0.998476,false,non-empty,1.13
rand_070,rand_070__l4_h1_t1,examples/brasp/random100/rand_070.brasp,1.0,1.0,false,non-empty,1.05
rand_071,rand_071__l4_h1_t1,examples/brasp/random100/rand_071.brasp,1.0,1.0,false,non-empty,1.1
rand_072,rand_072__l4_h1_t1,examples/brasp/random100/rand_072.brasp,1.0,1.0,false,non-empty,1.1
rand_073,rand_073__l3_h1_t1,examples/brasp/random100/rand_073.brasp,1.0,1.0,false,non-empty,1.14
rand_075,rand_075__l3_h1_t2,examples/brasp/random100/rand_075.brasp,1.0,1.0,false,non-empty,1.2
rand_076,rand_076__l3_h2_t2,examples/brasp/random100/rand_076.brasp,1.0,0.998476,false,non-empty,1.79
rand_077,rand_077__l2_h1_t1,examples/brasp/random100/rand_077.brasp,1.0,1.0,false,non-empty,1.66
rand_078,rand_078__l2_h1_t1,examples/brasp/random100/rand_078.brasp,1.0,1.0,false,non-empty,1.21
rand_080,rand_080__l4_h2_t2,examples/brasp/random100/rand_080.brasp,1.0,0.998476,false,non-empty,1.49
rand_081,rand_081__l4_h1_t1,examples/brasp/random100/rand_081.brasp,1.0,0.998476,false,non-empty,1.3
rand_082,rand_082__l4_h1_t2,examples/brasp/random100/rand_082.brasp,1.0,1.0,false,non-empty,1.17
rand_083,rand_083__l3_h1_t1,examples/brasp/random100/rand_083.brasp,1.0,1.0,false,non-empty,1.29
rand_085,rand_085__l3_h1_t1,examples/brasp/random100/rand_085.brasp,1.0,1.0,false,non-empty,1.12
rand_086,rand_086__l2_h1_t1,examples/brasp/random100/rand_086.brasp,1.0,0.998476,false,non-empty,1.13
rand_087,rand_087__l3_h1_t1,examples/brasp/random100/rand_087.brasp,1.0,1.0,false,non-empty,1.2
rand_088,rand_088__l4_h1_t1,examples/brasp/random100/rand_088.brasp,1.0,0.998476,false,non-empty,1.25
rand_089,rand_089__l2_h1_t2,examples/brasp/random100/rand_089.brasp,1.0,1.0,false,non-empty,1.25
rand_090,rand_090__l3_h1_t1,examples/brasp/random100/rand_090.brasp,1.0,1.0,false,non-empty,1.25
rand_091,rand_091__l2_h1_t2,examples/brasp/random100/rand_091.brasp,0.997863,0.996337,false,non-empty,1.31
rand_092,rand_092__l3_h1_t1,examples/brasp/random100/rand_092.brasp,1.0,0.998476,false,non-empty,1.09
rand_093,rand_093__l3_h2_t2,examples/brasp/random100/rand_093.brasp,1.0,1.0,false,non-empty,1.28
rand_094,rand_094__l3_h1_t1,examples/brasp/random100/rand_094.brasp,1.0,1.0,false,non-empty,1.16
rand_095,rand_095__l2_h2_t1,examples/brasp/random100/rand_095.brasp,1.0,0.998476,false,non-empty,1.17
rand_096,rand_096__l3_h1_t1,examples/brasp/random100/rand_096.brasp,1.0,1.0,false,non-empty,1.17
rand_097,rand_097__l4_h1_t1,examples/brasp/random100/rand_097.brasp,1.0,1.0,false,non-empty,1.25
rand_098,rand_098__l4_h1_t1,examples/brasp/random100/rand_098.brasp,1.0,1.0,false,non-empty,3.37
rand_099,rand_099__l2_h1_t2,examples/brasp/random100/rand_099.brasp,1.0,1.0,false,non-empty,1.68
